construction;preposition;lemma;pos;meaning;Masini_freq;dataset_freq
misteri su misteri;su;mistero;pl;nominal;greater_plurality/accumulation;1;1
moduli su moduli;su;modulo;pl;nominal;greater_plurality/accumulation;1;1
mondo su mondo;su;mondo;sg;modifier;succession/iteration/distributivity;1;1
monologo su monologo;su;monologo;sg;modifier;succession/iteration/distributivity;1;1
morti su morti;su;morto;pl;nominal;greater_plurality/accumulation;2;2
mura su mura;su;muro;pl;nominal;greater_plurality/accumulation;1;1
muro a muro;a;muro;sg;modifier;juxtaposition/contact;2;2
muso a muso;a;muso;sg;modifier;juxtaposition/contact;1;1
mutamenti su mutamenti;su;mutamento;pl;nominal;greater_plurality/accumulation;1;1
naso a naso;a;naso;sg;modifier;juxtaposition/contact;1;1
nodi su nodi;su;nodo;pl;nominal;greater_plurality/accumulation;2;1
nomi su nomi;su;nome;pl;nominal;greater_plurality/accumulation;4;4
norma su norma;su;norma;sg;modifier;succession/iteration/distributivity;1;1
norme su norme;su;norma;pl;nominal;greater_plurality/accumulation;1;1
notti su notti;su;notte;pl;nominal;greater_plurality/accumulation;1;1
novità su novità;su;novità;sg/pl;clause;inescapable_presupposition;1;1
novità su novità;su;novità;sg/pl;nominal;greater_plurality/accumulation;1;1
numeri su numeri;su;numero;pl;nominal;greater_plurality/accumulation;1;1
numero su numero;su;numero;sg;modifier;succession/iteration/distributivity;1;1
obiezioni su obiezioni;su;obiezione;pl;nominal;greater_plurality/accumulation;1;1
obolo su obolo;su;obolo;sg;modifier;succession/iteration/distributivity;1;1
occasioni su occasioni;su;occasione;pl;nominal;greater_plurality/accumulation;1;1
odio su odio;su;odio;sg;nominal;greater_plurality/accumulation;3;2
offesa su offesa;su;offesa;sg;modifier;succession/iteration/distributivity;1;1
ombelico su ombelico;su;ombelico;sg;modifier;juxtaposition/contact;1;0
ombellico su ombellico;su;ombellico;sg;modifier;juxtaposition/contact;0;1
ombre su ombre;su;ombra;pl;nominal;greater_plurality/accumulation;0;1
ombre su ombre;su;ombre;pl;nominal;greater_plurality/accumulation;1;0
omicidi su omicidi;su;omicidio;pl;nominal;greater_plurality/accumulation;1;1
onda a onda;a;onda;sg;modifier;succession/iteration/distributivity;1;1
onda su onda;su;onda;sg;modifier;succession/iteration/distributivity;4;3
operazioni su operazioni;su;operazione;pl;nominal;greater_plurality/accumulation;1;1
opere su opere;su;opera;pl;nominal;greater_plurality/accumulation;1;1
opinioni su opinioni;su;opinione;pl;nominal;greater_plurality/accumulation;1;1
ore su ore;su;ora;pl;nominal;greater_plurality/accumulation;2;2
orrori su orrori;su;orrore;pl;nominal;greater_plurality/accumulation;1;1
ostacoli su ostacoli;su;ostacolo;pl;nominal;greater_plurality/accumulation;0;1
ostacoli su ostacoli;su;ostocolo;pl;nominal;greater_plurality/accumulation;1;0
pacchetti su pacchetti;su;pacchetto;pl;nominal;greater_plurality/accumulation;1;1
pacchi su pacchi;su;pacco;pl;nominal;greater_plurality/accumulation;4;4
pagina su pagina;su;pagina;sg;modifier;succession/iteration/distributivity;1;1
pagine su pagine;su;pagina;pl;nominal;greater_plurality/accumulation;0;5
pagine su pagine;su;pagine;pl;nominal;greater_plurality/accumulation;5;0
palla su palla;su;palla;sg;modifier;succession/iteration/distributivity;2;2
palloni su palloni;su;pallone;pl;nominal;greater_plurality/accumulation;2;3
palmo a palmo;a;palmo;sg;modifier;succession/iteration/distributivity;71;71
parlamentari su parlamentari;su;parlamentare;pl;nominal;greater_plurality/accumulation;1;1
parola su parola;su;parola;sg;modifier;succession/iteration/distributivity;3;3
parola su parola;su;parola;sg;nominal;greater_plurality/accumulation;2;2
parole su parole;su;parola;pl;nominal;greater_plurality/accumulation;0;6
parole su parole;su;parole;pl;nominal;greater_plurality/accumulation;6;0
passo a passo;a;passo;sg;modifier;idiosyncratic;31;30
pasta su pasta;su;pasta;sg;nominal;greater_plurality/accumulation;1;1
pasticci su pasticci;su;pasticcio;pl;nominal;greater_plurality/accumulation;2;2
pedalata su pedalata;su;pedalata;sg;modifier;succession/iteration/distributivity;1;1
pelle a pelle;a;pelle;sg;modifier;juxtaposition/contact;1;1
pelle su pelle;su;pelle;sg;modifier;juxtaposition/contact;5;4
permessi su permessi;su;permesso;pl;nominal;greater_plurality/accumulation;2;2
petto a petto;a;petto;sg;modifier;juxtaposition/contact;1;1
pezzettino su pezzettino;su;pezzettino;sg;modifier;succession/iteration/distributivity;1;1
pezzetto su pezzetto;su;pezzetto;sg;modifier;succession/iteration/distributivity;1;1
pezzo a pezzo;a;pezzo;sg;modifier;succession/iteration/distributivity;19;18
pezzo su pezzo;su;pezzo;sg;modifier;succession/iteration/distributivity;2;2
piani su piani;su;piano;pl;nominal;greater_plurality/accumulation;2;2
piano a piano;a;piano;sg;modifier;succession/iteration/distributivity;0;1
piano su piano;su;piano;sg;modifier;succession/iteration/distributivity;1;1
piede su piede;su;piede;sg;modifier;juxtaposition/contact;2;2
pietra su pietra;su;pietra;sg;modifier;succession/iteration/distributivity;10;8
pietra su pietra;su;pietra;sg;nominal;greater_plurality/accumulation;1;2
pietra su pietra;su;pietra;sg;nominal;idiosyncratic;6;7
pile su pile;su;pila;pl;nominal;greater_plurality/accumulation;1;0
pile su pile;su;pile;pl;nominal;greater_plurality/accumulation;0;1
piste su piste;su;pista;pl;nominal;greater_plurality/accumulation;1;1
pixel a pixel;a;pixel;sg;modifier;succession/iteration/distributivity;2;2
plichi su plichi;su;plico;pl;nominal;greater_plurality/accumulation;1;1
poco a poco;a;poco;sg;nominal;idiosyncratic;344;0
polemiche su polemiche;su;polemica;pl;nominal;greater_plurality/accumulation;2;1
poro a poro;a;poro;sg;modifier;succession/iteration/distributivity;0;1
porta a porta;a;porta;sg;modifier;succession/iteration/distributivity;170;154
porta a porta;a;porta;sg;nominal;idiosyncratic;45;42
porte su porte;su;porta;pl;nominal;greater_plurality/accumulation;1;1
posizioni su posizioni;su;posizione;pl;nominal;greater_plurality/accumulation;2;2
premi su premi;su;premio;pl;nominal;greater_plurality/accumulation;2;2
procure su procure;su;procura;pl;nominal;greater_plurality/accumulation;1;1
progetti su progetti;su;progetto;pl;nominal;greater_plurality/accumulation;3;3
programmi su programmi;su;programma;pl;nominal;greater_plurality/accumulation;1;1
proposte su proposte;su;proposta;pl;nominal;greater_plurality/accumulation;1;1
prova su prova;su;prova;sg;modifier;succession/iteration/distributivity;1;1
prove su prove;su;prova;pl;nominal;greater_plurality/accumulation;0;13
prove su prove;su;prove;pl;nominal;greater_plurality/accumulation;13;0
provini su provini;su;provino;pl;nominal;greater_plurality/accumulation;1;1
punti su punti;su;punto;pl;nominal;greater_plurality/accumulation;3;3
punto a punto;a;punto;sg;modifier;idiosyncratic;15;15
punto a punto;a;punto;sg;modifier;succession/iteration/distributivity;7;7
punto su punto;su;punto;sg;modifier;succession/iteration/distributivity;13;15
ragioni su ragioni;su;ragione;pl;nominal;greater_plurality/accumulation;0;1
ragioni su ragioni;su;ragioni;pl;nominal;greater_plurality/accumulation;1;0
record su record;su;record;sg/pl;nominal;greater_plurality/accumulation;9;9
ricorsi su ricorsi;su;ricorsi;pl;nominal;greater_plurality/accumulation;0;1
ricorsi su ricorsi;su;ricorso;pl;nominal;greater_plurality/accumulation;1;1
righe su righe;su;riga;pl;nominal;greater_plurality/accumulation;2;2
rinvii su rinvii;su;rinvio;pl;nominal;greater_plurality/accumulation;2;2
risme su risme;su;risma;pl;nominal;greater_plurality/accumulation;1;1
